"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61"
"Maschio",20,8,4,1,4,7,5,5,3,5,4,2,2,4,4,3,4,4,2,2,4,4,4,4,3,2,3,5,3,5,3,5,3,5,2,2,5,3,5,2,6,1,5,4,2,7,5,3,4,4,4,7,9,8,2,6,0,3,10,7
"Maschio",20,7,6,5,4,4,3,2,3,2,4,1,3,2,4,4,4,4,2,3,4,4,4,4,4,2,4,1,4,1,4,1,4,1,2,4,2,4,4,4,5,3,6,5,4,5,4,3,4,4,5,7,7,7,7,8,4,4,0,6
"Maschio",23,6,4,3,2,5,3,2,2,2,3,1,1,3,2,3,4,3,2,2,4,2,3,2,2,1,3,2,3,2,3,2,2,2,1,2,3,2,4,3,3,2,3,5,4,5,3,4,3,2,2,6,10,7,6,7,5,4,0,6
"Maschio",23,7,6,6,6,1,4,1,5,1,5,1,1,4,4,5,3,3,1,3,2,5,4,3,5,1,3,4,3,4,2,4,3,2,1,2,1,3,5,6,4,4,7,7,6,7,6,6,6,6,7,6,2,9,9,8,9,4,10,9
"Maschio",22,8,6,6,6,2,3,1,4,2,5,2,2,3,4,5,5,4,2,4,2,5,3,2,4,2,4,1,4,2,3,2,5,1,1,4,1,4,6,6,7,6,7,6,5,3,6,4,5,5,6,9,10,9,7,10,5,5,9,8
"Maschio",22,8,6,5,5,2,5,2,3,2,3,2,3,1,4,3,3,2,1,2,2,2,2,3,4,1,4,2,3,3,4,2,4,3,1,3,2,3,5,6,2,3,6,5,3,4,3,5,5,4,4,7,9,5,9,7,4,2,8,8
"Maschio",26,6,5,6,6,2,3,4,4,5,4,5,4,2,3,2,5,1,4,4,5,4,3,4,2,4,3,3,4,2,3,3,4,2,3,3,4,4,3,1,2,2,3,5,6,3,2,1,2,2,5,6,5,3,4,2,0,0,10,8
"Femmina",24,4,6,6,4,5,4,2,3,2,1,2,3,1,3,4,3,3,1,3,3,3,4,3,4,2,3,3,3,3,3,3,3,3,3,3,4,2,5,6,5,5,7,5,1,5,3,4,4,3,4,9,7,7,9,5,1,1,0,5
"Femmina",24,7,5,5,4,4,3,2,3,2,2,2,4,2,3,2,4,3,2,2,2,3,3,4,3,3,3,4,3,3,2,5,3,5,5,3,2,3,3,4,5,4,6,5,4,2,5,4,5,5,5,7,3,7,8,5,1,3,10,8
"Femmina",20,8,4,5,3,7,4,5,3,2,3,1,2,4,4,3,5,4,4,2,5,3,3,4,4,2,3,4,3,2,3,3,3,4,1,4,3,3,6,6,6,4,3,6,2,6,2,3,5,3,7,5,7,7,8,4,3,1,1,8
"Femmina",19,7,4,4,3,1,3,3,4,2,2,2,5,1,3,2,4,3,5,2,4,2,2,3,2,3,4,2,3,1,3,1,3,2,4,2,3,1,4,2,2,6,6,5,3,1,1,1,4,4,1,2,9,6,3,1,0,0,0,6
"Femmina",21,8,6,7,3,4,3,3,4,3,3,2,3,2,3,3,2,2,2,2,2,3,4,2,2,2,3,3,4,2,3,2,4,3,2,3,3,3,5,6,5,5,6,7,5,6,4,6,6,5,6,8,9,6,9,7,10,6,2,9
"Femmina",21,7,6,5,5,1,3,2,1,3,1,1,3,3,2,3,3,5,4,3,4,5,5,4,3,3,5,2,5,3,5,2,4,2,1,4,2,4,4,6,4,7,7,7,7,6,4,2,5,2,1,3,8,8,8,8,2,0,6,7
"Femmina",22,7,7,6,6,1,4,1,4,1,4,1,1,1,4,3,2,3,1,3,2,4,3,2,3,1,4,2,5,2,4,2,4,1,1,4,2,4,5,6,6,6,6,6,5,6,6,5,6,6,7,8,9,8,7,9,9,6,7,7
"Femmina",30,5,5,4,4,4,5,1,4,2,2,1,4,3,4,4,3,2,1,3,4,4,4,4,4,3,3,3,3,2,2,2,3,3,2,3,3,3,2,4,3,4,6,5,4,6,1,4,5,1,3,4,9,7,9,9,7,6,9,6
"Maschio",26,0,2,2,2,2,1,1,1,5,2,2,1,1,1,1,4,3,5,1,4,3,3,3,1,5,1,5,1,1,1,3,1,1,3,2,5,1,1,1,1,1,1,7,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
"Femmina",20,8,6,6,6,1,5,1,5,2,5,1,4,1,5,5,2,4,1,4,2,5,5,2,5,2,5,1,5,1,5,1,5,1,3,5,2,5,7,7,7,7,7,7,7,5,5,6,6,6,6,8,9,8,10,9,9,6,0,10
"Femmina",20,8,6,6,3,6,4,3,3,4,2,1,3,2,2,4,5,3,1,4,5,4,3,4,4,3,4,1,3,2,3,2,4,5,4,3,2,3,6,4,5,5,6,4,2,6,3,3,4,4,2,7,4,7,2,4,3,1,3,5
"Femmina",22,6,4,5,7,1,4,1,2,3,1,1,2,1,4,2,4,4,2,4,4,5,3,2,2,2,5,2,4,2,4,2,4,2,4,4,4,2,6,2,5,6,7,7,3,6,3,1,4,1,4,1,1,5,5,0,0,0,10,6
"Femmina",20,5,5,4,3,4,3,5,2,4,3,3,5,5,4,4,2,2,4,2,4,2,2,5,3,5,3,4,3,3,4,4,4,5,5,3,4,4,2,2,2,6,4,3,1,4,1,1,3,3,5,3,8,5,1,1,0,0,7,6
"Maschio",16,7,6,7,6,5,5,2,3,2,4,1,1,1,5,4,2,5,1,3,3,3,4,2,5,2,3,4,4,3,3,3,2,2,1,3,1,3,7,5,7,5,5,7,7,5,7,5,7,7,7,7,10,10,8,7,8,10,6,9
"Femmina",22,7,5,5,3,5,3,1,3,2,3,1,4,4,2,3,4,2,1,2,4,3,2,1,3,3,3,4,3,4,3,4,3,4,1,3,4,3,6,3,5,7,6,5,3,3,3,3,4,5,5,6,10,9,4,2,2,2,2,6
"Femmina",26,5,4,3,3,6,4,3,2,4,2,2,3,2,3,2,3,4,2,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,4,5,2,2,2,1,2,2,2,4,4,3,3,5,3,1,0,2
"Femmina",35,6,5,3,4,4,4,3,2,3,4,2,3,1,3,4,1,4,1,4,2,4,4,2,4,3,5,1,5,1,5,1,5,1,4,5,1,5,6,6,6,6,6,7,5,5,5,5,5,6,3,6,7,6,6,5,5,5,9,6
"Femmina",37,4,4,4,3,6,4,4,4,4,1,4,4,3,1,3,4,1,4,1,4,1,1,4,1,4,1,5,4,2,4,4,1,4,4,1,4,1,2,5,2,6,6,4,1,6,1,5,1,1,1,5,10,5,5,5,5,5,5,5
"Femmina",24,7,5,5,6,2,5,2,3,1,4,2,2,1,5,1,2,3,1,4,2,4,4,2,4,2,5,2,4,2,4,2,5,1,1,4,1,4,7,7,6,6,6,6,6,7,5,4,6,7,7,6,9,9,10,9,9,4,9,7
